drug_a,drug_b,severity,description,raw_text
ESCITALOPRAM ORAL,Intervention,moderate,"The clinical significance of this finding is unknown. Exercise caution during coadministration of escitalopram and drugs metabolized by CYP2D6. Concomitant use with SSRIs, SNRIs or Tryptophan is not recommended ( 7 ) Use caution when concomitant use with drugs that affect Hemostasis (NSAIDs, Aspirin, Warfarin) ( 7 )","7 DRUG INTERACTIONS Table 6 presents clinically important drug interactions with escitalopram. TABLE 6 Clinically Important Drug Interactions with Escitalopram Monoamine Oxidase Inhibitors (MAOIs) Clinical Impact: Concomitant use of SSRIs, including escitalopram, and MAOIs increases the risk of serotonin syndrome. Intervention: Escitalopram is contraindicated in patients taking MAOIs, including MAOIs such as linezolid or intravenous methylene blue [ see Dosage and Administration (2.7) , Contrain"
Unknown,Clopidogrel,unknown,esomeprazole magnesium decreases exposure to the active metabolite of clopidogrel. ( 7.3 ) May increase systemic exposure of cilostazol and an active metabolite,"7 DRUG INTERACTIONS May affect plasma levels of antiretroviral drugs – use with atazanavir and nelfinavir is not recommended; if saquinavir is used with esomeprazole magnesium, monitor for toxicity and consider saquinavir dose reduction. ( 7.1 ) May interfere with drugs for which gastric pH affects bioavailability (e.g., ketoconazole, iron salts, erlotinib, digoxin and mycophenolate mofetil). Patients treated with esomeprazole magnesium and digoxin may need to be monitored for digoxin toxicity. "
Unknown,Tacrolimus,unknown,esomeprazole magnesium may increase serum levels of tacrolimus. ( 7.5 ) Methotrexate: esomeprazole magnesium may increase serum levels of methotrexate,"7 DRUG INTERACTIONS May affect plasma levels of antiretroviral drugs – use with atazanavir and nelfinavir is not recommended; if saquinavir is used with esomeprazole magnesium, monitor for toxicity and consider saquinavir dose reduction. ( 7.1 ) May interfere with drugs for which gastric pH affects bioavailability (e.g., ketoconazole, iron salts, erlotinib, digoxin and mycophenolate mofetil). Patients treated with esomeprazole magnesium and digoxin may need to be monitored for digoxin toxicity. "
Unknown,inhibitors,unknown,"Reduce quetiapine dose to one sixth when coadministered with strong CYP3A4 inhibitors (e.g., ketoconazole, ritonavir) ( 2","7. DRUG INTERACTIONS Concomitant use of strong CYP3A4 inhibitors: Reduce quetiapine dose to one sixth when coadministered with strong CYP3A4 inhibitors (e.g., ketoconazole, ritonavir) ( 2.5 , 7.1 , 12.3 ) Concomitant use of strong CYP3A4 inducers: Increase quetiapine dose up to 5 fold when used in combination with a chronic treatment (more than 7 to 14 days) of potent CYP3A4 inducers (e.g., phenytoin, rifampin, St. John’s wort) ( 2.6 , 7.1 , 12.3 ) Discontinuation of strong CYP3A4 inducers: Redu"
Unknown,inducers,unknown,"Increase quetiapine dose up to 5 fold when used in combination with a chronic treatment (more than 7 to 14 days) of potent CYP3A4 inducers (e.g., phenytoin, rifampin, St","7. DRUG INTERACTIONS Concomitant use of strong CYP3A4 inhibitors: Reduce quetiapine dose to one sixth when coadministered with strong CYP3A4 inhibitors (e.g., ketoconazole, ritonavir) ( 2.5 , 7.1 , 12.3 ) Concomitant use of strong CYP3A4 inducers: Increase quetiapine dose up to 5 fold when used in combination with a chronic treatment (more than 7 to 14 days) of potent CYP3A4 inducers (e.g., phenytoin, rifampin, St. John’s wort) ( 2.6 , 7.1 , 12.3 ) Discontinuation of strong CYP3A4 inducers: Redu"
Unknown,inducers,unknown,"Reduce quetiapine dose by 5 fold within 7 to 14 days of discontinuation of CYP3A4 inducers ( 2.6 , 7.1 , 12","7. DRUG INTERACTIONS Concomitant use of strong CYP3A4 inhibitors: Reduce quetiapine dose to one sixth when coadministered with strong CYP3A4 inhibitors (e.g., ketoconazole, ritonavir) ( 2.5 , 7.1 , 12.3 ) Concomitant use of strong CYP3A4 inducers: Increase quetiapine dose up to 5 fold when used in combination with a chronic treatment (more than 7 to 14 days) of potent CYP3A4 inducers (e.g., phenytoin, rifampin, St. John’s wort) ( 2.6 , 7.1 , 12.3 ) Discontinuation of strong CYP3A4 inducers: Redu"
Unknown,inhibitors,major,"Coadministration of ketoconazole, a potent inhibitor of cytochrome CYP3A4, resulted in significant increase in quetiapine exposure. The dose of quetiapine should be reduced to one sixth of the original dose if co-administered with a strong CYP3A4 inhibitor [see Dosage and Administration (2.5) and Clinical Pharmacology (12","7. DRUG INTERACTIONS Concomitant use of strong CYP3A4 inhibitors: Reduce quetiapine dose to one sixth when coadministered with strong CYP3A4 inhibitors (e.g., ketoconazole, ritonavir) ( 2.5 , 7.1 , 12.3 ) Concomitant use of strong CYP3A4 inducers: Increase quetiapine dose up to 5 fold when used in combination with a chronic treatment (more than 7 to 14 days) of potent CYP3A4 inducers (e.g., phenytoin, rifampin, St. John’s wort) ( 2.6 , 7.1 , 12.3 ) Discontinuation of strong CYP3A4 inducers: Redu"
Unknown,inducers,unknown,"Coadministration of quetiapine and phenytoin, a CYP3A4 inducer increased the mean oral clearance of quetiapine by 5-fold. Increased doses of quetiapine up to 5-fold may be required to maintain control of symptoms of schizophrenia in patients receiving quetiapine and phenytoin, or other known potent CYP3A4 inducers [see Dosage and Administration (2.6) and Clinical Pharmacology (12","7. DRUG INTERACTIONS Concomitant use of strong CYP3A4 inhibitors: Reduce quetiapine dose to one sixth when coadministered with strong CYP3A4 inhibitors (e.g., ketoconazole, ritonavir) ( 2.5 , 7.1 , 12.3 ) Concomitant use of strong CYP3A4 inducers: Increase quetiapine dose up to 5 fold when used in combination with a chronic treatment (more than 7 to 14 days) of potent CYP3A4 inducers (e.g., phenytoin, rifampin, St. John’s wort) ( 2.6 , 7.1 , 12.3 ) Discontinuation of strong CYP3A4 inducers: Redu"
Unknown,Drug Interactions Antiarrhythmic Drugs,moderate,"Lidocaine patch 5% should be used with caution in patients receiving Class I antiarrhythmic drugs (such as tocainide and mexiletine) since the toxic effects are additive and potentially synergistic. Local Anesthetics: When lidocaine patch 5% is used concomitantly with other products containing local anesthetic agents, the amount absorbed from all formulations must be considered","Drug Interactions Antiarrhythmic Drugs: Lidocaine patch 5% should be used with caution in patients receiving Class I antiarrhythmic drugs (such as tocainide and mexiletine) since the toxic effects are additive and potentially synergistic. Local Anesthetics: When lidocaine patch 5% is used concomitantly with other products containing local anesthetic agents, the amount absorbed from all formulations must be considered."
Unknown,CNS Acting Drugs,moderate,"Caution should be used when taken in combination with other centrally acting drugs ( 7.2 ) Benzodiazepines: Diazepam – increased t½, alprazolam - further psychomotor performance decrement due to increased levels ( 7.7 ) Antipsychotics: Potential for elevation of haloperidol and clozapine levels ( 7","7 DRUG INTERACTIONS As with all drugs, the potential for interaction by a variety of mechanisms (e.g., pharmacodynamic, pharmacokinetic drug inhibition or enhancement, etc.) is a possibility. Monoamine Oxidase Inhibitors (MAOIs): ( 2.9 , 2.10 , 4.1 , 5.2 ) Drugs Metabolized by CYP2D6: Fluoxetine is a potent inhibitor of CYP2D6 enzyme pathway ( 7.7 ) Tricyclic Antidepressants (TCAs): Monitor TCA levels during coadministration with fluoxetine or when fluoxetine has been recently discontinued ( 5.2"
Unknown,Anticonvulsants,unknown,"Potential for elevated phenytoin and carbamazepine levels and clinical anticonvulsant toxicity ( 7.7 ) Serotonergic Drugs: ( 2.9 , 2","7 DRUG INTERACTIONS As with all drugs, the potential for interaction by a variety of mechanisms (e.g., pharmacodynamic, pharmacokinetic drug inhibition or enhancement, etc.) is a possibility. Monoamine Oxidase Inhibitors (MAOIs): ( 2.9 , 2.10 , 4.1 , 5.2 ) Drugs Metabolized by CYP2D6: Fluoxetine is a potent inhibitor of CYP2D6 enzyme pathway ( 7.7 ) Tricyclic Antidepressants (TCAs): Monitor TCA levels during coadministration with fluoxetine or when fluoxetine has been recently discontinued ( 5.2"
Unknown,Drugs Tightly Bound to Plasma Proteins,unknown,"May cause a shift in plasma concentrations ( 7.6 , 7.7 ) Olanzapine: When used in combination with fluoxetine, also refer to the Drug Interactions section of the package insert for Symbyax ( 7","7 DRUG INTERACTIONS As with all drugs, the potential for interaction by a variety of mechanisms (e.g., pharmacodynamic, pharmacokinetic drug inhibition or enhancement, etc.) is a possibility. Monoamine Oxidase Inhibitors (MAOIs): ( 2.9 , 2.10 , 4.1 , 5.2 ) Drugs Metabolized by CYP2D6: Fluoxetine is a potent inhibitor of CYP2D6 enzyme pathway ( 7.7 ) Tricyclic Antidepressants (TCAs): Monitor TCA levels during coadministration with fluoxetine or when fluoxetine has been recently discontinued ( 5.2"
Unknown,Drugs that Prolong the QT Interval,moderate,"Do not use fluoxetine with thioridazine or pimozide. Use with caution in combination with other drugs that prolong the QT interval ( 4.2 , 5","7 DRUG INTERACTIONS As with all drugs, the potential for interaction by a variety of mechanisms (e.g., pharmacodynamic, pharmacokinetic drug inhibition or enhancement, etc.) is a possibility. Monoamine Oxidase Inhibitors (MAOIs): ( 2.9 , 2.10 , 4.1 , 5.2 ) Drugs Metabolized by CYP2D6: Fluoxetine is a potent inhibitor of CYP2D6 enzyme pathway ( 7.7 ) Tricyclic Antidepressants (TCAs): Monitor TCA levels during coadministration with fluoxetine or when fluoxetine has been recently discontinued ( 5.2"
Unknown,These include,unknown,"specific antipsychotics (e.g., ziprasidone, iloperidone, chlorpromazine, mesoridazine, droperidol); specific antibiotics (e","7 DRUG INTERACTIONS As with all drugs, the potential for interaction by a variety of mechanisms (e.g., pharmacodynamic, pharmacokinetic drug inhibition or enhancement, etc.) is a possibility. Monoamine Oxidase Inhibitors (MAOIs): ( 2.9 , 2.10 , 4.1 , 5.2 ) Drugs Metabolized by CYP2D6: Fluoxetine is a potent inhibitor of CYP2D6 enzyme pathway ( 7.7 ) Tricyclic Antidepressants (TCAs): Monitor TCA levels during coadministration with fluoxetine or when fluoxetine has been recently discontinued ( 5.2"
Unknown,Lithium,unknown,"Reversible increases in serum lithium concentrations and toxicity ( 7 ). NSAIDS use may lead to increased risk of renal impairment and loss of antihypertensive effect ( 7 ). Dual inhibition of the renin-angiotensin system: Increased risk of renal impairment, hypotension, and hyperkalemia ( 7 )","7 DRUG INTERACTIONS Because candesartan is not significantly metabolized by the cytochrome P450 system and at therapeutic concentrations has no effects on P450 enzymes, interactions with drugs that inhibit or are metabolized by those enzymes would not be expected.Because candesartan is not significantly metabolized by the cytochrome P450 system and at therapeutic concentrations has no effects on P450 enzymes, interactions with drugs that inhibit or are metabolized by those enzymes would not be e"
Unknown,DRUG INTERACTIONS CNS Depressants,unknown,"Trazodone hydrochloride tablets may enhance effects of alcohol, barbiturates, or other CNS depressants ( 7 ). CYP3A4 Inhibitors: Consider trazodone hydrochloride tablets dose reduction based on tolerability ( 2.5 , 7 )","7 DRUG INTERACTIONS CNS Depressants: Trazodone hydrochloride tablets may enhance effects of alcohol, barbiturates, or other CNS depressants ( 7 ). CYP3A4 Inhibitors: Consider trazodone hydrochloride tablets dose reduction based on tolerability ( 2.5 , 7 ). CYP3A4 Inducers: Increase in trazodone hydrochloride tablets dosage may be necessary ( 2.5 , 7 ). Digoxin or Phenytoin: Monitor for increased digoxin or phenytoin serum levels ( 7 ). Warfarin: Monitor for increased or decreased prothrombin tim"
Unknown,Inducers,moderate,"Increase in trazodone hydrochloride tablets dosage may be necessary ( 2.5 , 7 ). Digoxin or Phenytoin: Monitor for increased digoxin or phenytoin serum levels ( 7 )","7 DRUG INTERACTIONS CNS Depressants: Trazodone hydrochloride tablets may enhance effects of alcohol, barbiturates, or other CNS depressants ( 7 ). CYP3A4 Inhibitors: Consider trazodone hydrochloride tablets dose reduction based on tolerability ( 2.5 , 7 ). CYP3A4 Inducers: Increase in trazodone hydrochloride tablets dosage may be necessary ( 2.5 , 7 ). Digoxin or Phenytoin: Monitor for increased digoxin or phenytoin serum levels ( 7 ). Warfarin: Monitor for increased or decreased prothrombin tim"
Unknown,Warfarin,moderate,Monitor for increased or decreased prothrombin time ( 7 ). 7.1 Drugs Having Clinically Important Interactions with Trazodone Hydrochloride Tablets Table 3: Clinically Important Drug Interactions with Trazodone Hydrochloride Tablets Monoamine Oxidase Inhibitors (MAOIs) Clinical Impact: The concomitant use of MAOIs and serotonergic drugs including trazodone hydrochloride tablets increases the risk of serotonin syndrome,"7 DRUG INTERACTIONS CNS Depressants: Trazodone hydrochloride tablets may enhance effects of alcohol, barbiturates, or other CNS depressants ( 7 ). CYP3A4 Inhibitors: Consider trazodone hydrochloride tablets dose reduction based on tolerability ( 2.5 , 7 ). CYP3A4 Inducers: Increase in trazodone hydrochloride tablets dosage may be necessary ( 2.5 , 7 ). Digoxin or Phenytoin: Monitor for increased digoxin or phenytoin serum levels ( 7 ). Warfarin: Monitor for increased or decreased prothrombin tim"
Unknown,Intervention,contraindicated,"Trazodone hydrochloride tablets are contraindicated in patients taking MAOIs, including MAOIs such as linezolid or intravenous methylene blue [see Contraindications (4), Dosage and Administration ( 2.3 , 2.4 ), and Warnings and Precautions ( 5","7 DRUG INTERACTIONS CNS Depressants: Trazodone hydrochloride tablets may enhance effects of alcohol, barbiturates, or other CNS depressants ( 7 ). CYP3A4 Inhibitors: Consider trazodone hydrochloride tablets dose reduction based on tolerability ( 2.5 , 7 ). CYP3A4 Inducers: Increase in trazodone hydrochloride tablets dosage may be necessary ( 2.5 , 7 ). Digoxin or Phenytoin: Monitor for increased digoxin or phenytoin serum levels ( 7 ). Warfarin: Monitor for increased or decreased prothrombin tim"
Unknown,Examples,moderate,"isocarboxazid, moclobemide, phenelzine, selegiline, tranylcypromine Other Serotonergic Drugs Clinical Impact: The concomitant use of serotonergic drugs including trazodone hydrochloride tablets and other serotonergic drugs increases the risk of serotonin syndrome. Intervention: Monitor patients for signs and symptoms of serotonin syndrome, particularly during trazodone hydrochloride tablets initiation. If serotonin syndrome occurs, consider discontinuation of trazodone hydrochloride tablets and/or concomitant serotonergic drugs [see Warnings and Precautions ( 5","7 DRUG INTERACTIONS CNS Depressants: Trazodone hydrochloride tablets may enhance effects of alcohol, barbiturates, or other CNS depressants ( 7 ). CYP3A4 Inhibitors: Consider trazodone hydrochloride tablets dose reduction based on tolerability ( 2.5 , 7 ). CYP3A4 Inducers: Increase in trazodone hydrochloride tablets dosage may be necessary ( 2.5 , 7 ). Digoxin or Phenytoin: Monitor for increased digoxin or phenytoin serum levels ( 7 ). Warfarin: Monitor for increased or decreased prothrombin tim"
Unknown,Examples,unknown,"triptans, antidepressants (tricyclic and serotonin uptake inhibitors), fentanyl, lithium, tramadol, tryptophan, buspirone, and St. John's Wort Antiplatelet Agents and Anticoagulants Clinical Impact: Serotonin release by platelets plays an important role in hemostasis. The concurrent use of an antiplatelet agent or anticoagulant with trazodone hydrochloride tablets may potentiate the risk of bleeding","7 DRUG INTERACTIONS CNS Depressants: Trazodone hydrochloride tablets may enhance effects of alcohol, barbiturates, or other CNS depressants ( 7 ). CYP3A4 Inhibitors: Consider trazodone hydrochloride tablets dose reduction based on tolerability ( 2.5 , 7 ). CYP3A4 Inducers: Increase in trazodone hydrochloride tablets dosage may be necessary ( 2.5 , 7 ). Digoxin or Phenytoin: Monitor for increased digoxin or phenytoin serum levels ( 7 ). Warfarin: Monitor for increased or decreased prothrombin tim"
Unknown,Intervention,moderate,"Inform patients of the increased risk of bleeding with the concomitant use of trazodone hydrochloride tablets and antiplatelet agents and anticoagulants. For patients taking warfarin, carefully monitor the international normalized ratio (INR) when initiating or discontinuing trazodone hydrochloride tablets [see Warnings and Precautions ( 5.5 )]","7 DRUG INTERACTIONS CNS Depressants: Trazodone hydrochloride tablets may enhance effects of alcohol, barbiturates, or other CNS depressants ( 7 ). CYP3A4 Inhibitors: Consider trazodone hydrochloride tablets dose reduction based on tolerability ( 2.5 , 7 ). CYP3A4 Inducers: Increase in trazodone hydrochloride tablets dosage may be necessary ( 2.5 , 7 ). Digoxin or Phenytoin: Monitor for increased digoxin or phenytoin serum levels ( 7 ). Warfarin: Monitor for increased or decreased prothrombin tim"
Unknown,Examples,moderate,"warfarin, rivaroxaban, dabigatran, clopidogrel Strong CYP3A4 Inhibitors Clinical Impact: The concomitant use of trazodone hydrochloride tablets and strong CYP3A4 inhibitors increased the exposure of trazodone compared to the use of trazodone hydrochloride tablets alone. Intervention: If trazodone hydrochloride tablets is used with a potent CYP3A4 inhibitor, the risk of adverse reactions, including cardiac arrhythmias, may be increased and a lower dose of trazodone hydrochloride tablets should be considered [see Dosage and Administration ( 2.5 ), Warnings and Precautions ( 5","7 DRUG INTERACTIONS CNS Depressants: Trazodone hydrochloride tablets may enhance effects of alcohol, barbiturates, or other CNS depressants ( 7 ). CYP3A4 Inhibitors: Consider trazodone hydrochloride tablets dose reduction based on tolerability ( 2.5 , 7 ). CYP3A4 Inducers: Increase in trazodone hydrochloride tablets dosage may be necessary ( 2.5 , 7 ). Digoxin or Phenytoin: Monitor for increased digoxin or phenytoin serum levels ( 7 ). Warfarin: Monitor for increased or decreased prothrombin tim"
Unknown,Examples,moderate,"itraconazole, ketoconazole, clarithromycin, indinavir Strong CYP3A4 Inducers Clinical Impact: The concomitant use of trazodone hydrochloride tablets and strong CYP3A4 inducers decreased the exposure of trazodone compared to the use of trazodone hydrochloride tablets alone. Intervention: Patients should be closely monitored to see if there is a need for an increased dose of trazodone hydrochloride tablets when taking CYP3A4 inducers [see Dosage and Administration ( 2.5 )]","7 DRUG INTERACTIONS CNS Depressants: Trazodone hydrochloride tablets may enhance effects of alcohol, barbiturates, or other CNS depressants ( 7 ). CYP3A4 Inhibitors: Consider trazodone hydrochloride tablets dose reduction based on tolerability ( 2.5 , 7 ). CYP3A4 Inducers: Increase in trazodone hydrochloride tablets dosage may be necessary ( 2.5 , 7 ). Digoxin or Phenytoin: Monitor for increased digoxin or phenytoin serum levels ( 7 ). Warfarin: Monitor for increased or decreased prothrombin tim"
Unknown,Examples,unknown,"rifampin, carbamazepine, phenytoin, St. John’s wort Digoxin and Phenytoin Clinical Impact: Digoxin and phenytoin are narrow therapeutic index drugs. Concomitant use of trazodone hydrochloride tablets can increase digoxin or phenytoin concentrations","7 DRUG INTERACTIONS CNS Depressants: Trazodone hydrochloride tablets may enhance effects of alcohol, barbiturates, or other CNS depressants ( 7 ). CYP3A4 Inhibitors: Consider trazodone hydrochloride tablets dose reduction based on tolerability ( 2.5 , 7 ). CYP3A4 Inducers: Increase in trazodone hydrochloride tablets dosage may be necessary ( 2.5 , 7 ). Digoxin or Phenytoin: Monitor for increased digoxin or phenytoin serum levels ( 7 ). Warfarin: Monitor for increased or decreased prothrombin tim"
Unknown,Intervention,moderate,"Measure serum digoxin or phenytoin concentrations before initiating concomitant use of trazodone hydrochloride tablets. Continue monitoring and reduce digoxin or phenytoin dose as necessary. Examples: digoxin, phenytoin Central Nervous System (CNS) Depressants Clinical Impact: Trazodone hydrochloride tablets may enhance the response CNS depressants","7 DRUG INTERACTIONS CNS Depressants: Trazodone hydrochloride tablets may enhance effects of alcohol, barbiturates, or other CNS depressants ( 7 ). CYP3A4 Inhibitors: Consider trazodone hydrochloride tablets dose reduction based on tolerability ( 2.5 , 7 ). CYP3A4 Inducers: Increase in trazodone hydrochloride tablets dosage may be necessary ( 2.5 , 7 ). Digoxin or Phenytoin: Monitor for increased digoxin or phenytoin serum levels ( 7 ). Warfarin: Monitor for increased or decreased prothrombin tim"
Unknown,Intervention,moderate,"Patients should be counseled that trazodone hydrochloride tablets may enhance the response to alcohol, barbiturates, and other CNS depressants. Examples: alcohol, barbiturates QT Interval Prolongation Clinical Impact: Concomitant use of drugs that prolong the QT interval may add to the QT effects of trazodone hydrochloride tablets and increase the risk of cardiac arrhythmia. Intervention: Avoid the use of trazodone hydrochloride tablets in combination with other drugs known to prolong QTc [see Warnings and Precautions ( 5","7 DRUG INTERACTIONS CNS Depressants: Trazodone hydrochloride tablets may enhance effects of alcohol, barbiturates, or other CNS depressants ( 7 ). CYP3A4 Inhibitors: Consider trazodone hydrochloride tablets dose reduction based on tolerability ( 2.5 , 7 ). CYP3A4 Inducers: Increase in trazodone hydrochloride tablets dosage may be necessary ( 2.5 , 7 ). Digoxin or Phenytoin: Monitor for increased digoxin or phenytoin serum levels ( 7 ). Warfarin: Monitor for increased or decreased prothrombin tim"
Unknown,Examples,unknown,"Class 1A antiarrhythmics: quinidine, procainamide, disopyramide; Class 3 antiarrhythmics: amiodarone, sotalol; Antipsychotics: ziprasidone, chlorpromazine, thioridazine; Antibiotics: gatifloxacin","7 DRUG INTERACTIONS CNS Depressants: Trazodone hydrochloride tablets may enhance effects of alcohol, barbiturates, or other CNS depressants ( 7 ). CYP3A4 Inhibitors: Consider trazodone hydrochloride tablets dose reduction based on tolerability ( 2.5 , 7 ). CYP3A4 Inducers: Increase in trazodone hydrochloride tablets dosage may be necessary ( 2.5 , 7 ). Digoxin or Phenytoin: Monitor for increased digoxin or phenytoin serum levels ( 7 ). Warfarin: Monitor for increased or decreased prothrombin tim"
Unknown,see CLINICAL PHARMACOLOGY,major,"Drug Interactions). During postmarketing use, there have been reports of clinically significant drug interactions in patients receiving fluticasone propionate and ritonavir, resulting in systemic corticosteroid effects including Cushing syndrome and adrenal suppression. Therefore, coadministration of fluticasone propionate and ritonavir is not recommended unless the potential benefit to the patient outweighs the risk of systemic corticosteroid side effects","Drug Interactions Fluticasone propionate is a substrate of cytochrome P450 3A4. A drug interaction study with fluticasone propionate aqueous nasal spray in healthy subjects has shown that ritonavir (a highly potent cytochrome P450 3A4 inhibitor) can significantly increase plasma fluticasone propionate exposure, resulting in significantly reduced serum cortisol concentrations (see CLINICAL PHARMACOLOGY: Drug Interactions). During postmarketing use, there have been reports of clinically significan"
CITALOPRAM,Pimozide Clinical Impact,contraindicated,"Concomitant use of citalopram with pimozide increases plasma concentrations of pimozide, a drug with a narrow therapeutic index, and may increase the risk of QT prolongation and/or ventricular arrhythmias compared to use of citalopram alone [see Clinical Pharmacology ( 12.2 )]. Intervention: Citalopram is contraindicated in patients taking pimozide [see Contraindications ( 4 ), Warnings and Precautions ( 5","7 DRUG INTERACTIONS Table 5 presents clinically important drug interactions with citalopram. Table 5: Clinically Important Drug Interactions with Citalopram Monoamine Oxidase Inhibitors (MAOIs) Clinical Impact Concomitant use of SSRIs, including citalopram, and MAOIs increases the risk of serotonin syndrome. Intervention Citalopram is contraindicated in patients taking MAOIs, including MAOIs such as linezolid or intravenous methylene blue [see Dosage and Administration ( 2.5 ), Contraindications"
CITALOPRAM,Drugs that Prolong the QTc Interval Clinical Impact,contraindicated,"Concomitant use of citalopram with drugs that prolong QT can cause additional QT prolongation compared to the use of citalopram alone [see Clinical Pharmacology ( 12.2 )]. Intervention: Avoid concomitant use of citalopram with drugs that prolong the QT interval (citalopram is contraindicated in patients taking pimozide) [see Contraindications ( 4 ) , Warnings and Precautions ( 5","7 DRUG INTERACTIONS Table 5 presents clinically important drug interactions with citalopram. Table 5: Clinically Important Drug Interactions with Citalopram Monoamine Oxidase Inhibitors (MAOIs) Clinical Impact Concomitant use of SSRIs, including citalopram, and MAOIs increases the risk of serotonin syndrome. Intervention Citalopram is contraindicated in patients taking MAOIs, including MAOIs such as linezolid or intravenous methylene blue [see Dosage and Administration ( 2.5 ), Contraindications"
CITALOPRAM,Inhibitors Clinical Impact,unknown,Concomitant use of citalopram with CYP2C19 inhibitors increases the risk of QT prolongation and/or ventricular arrhythmias compared to the use of citalopram alone [see Clinical Pharmacology ( 12.2 )]. Intervention: The maximum recommended dosage of citalopram is 20 mg daily when used concomitantly with a CYP2C19 inhibitor [see Dosage and Administration ( 2,"7 DRUG INTERACTIONS Table 5 presents clinically important drug interactions with citalopram. Table 5: Clinically Important Drug Interactions with Citalopram Monoamine Oxidase Inhibitors (MAOIs) Clinical Impact Concomitant use of SSRIs, including citalopram, and MAOIs increases the risk of serotonin syndrome. Intervention Citalopram is contraindicated in patients taking MAOIs, including MAOIs such as linezolid or intravenous methylene blue [see Dosage and Administration ( 2.5 ), Contraindications"
CITALOPRAM,Other Serotonergic Drugs Clinical Impact,moderate,"Concomitant use of citalopram and other serotonergic drugs (including other SSRIs, SNRIs, triptans, tricyclic antidepressants, opioids, lithium, buspirone, amphetamines, tryptophan, and St. John's Wort) increases the risk of serotonin syndrome. Intervention: Monitor patients for signs and symptoms of serotonin syndrome, particularly during citalopram initiation and dosage increases","7 DRUG INTERACTIONS Table 5 presents clinically important drug interactions with citalopram. Table 5: Clinically Important Drug Interactions with Citalopram Monoamine Oxidase Inhibitors (MAOIs) Clinical Impact Concomitant use of SSRIs, including citalopram, and MAOIs increases the risk of serotonin syndrome. Intervention Citalopram is contraindicated in patients taking MAOIs, including MAOIs such as linezolid or intravenous methylene blue [see Dosage and Administration ( 2.5 ), Contraindications"
CITALOPRAM,Clinical Impact,moderate,"Concomitant use of citalopram and an antiplatelet or anticoagulant may potentiate the risk of bleeding. Intervention: Inform patients of the increased risk of bleeding associated with the concomitant use of citalopram and antiplatelet agents and anticoagulants. For patients taking warfarin, carefully monitor the international normalized ratio [see Warning and Precautions ( 5","7 DRUG INTERACTIONS Table 5 presents clinically important drug interactions with citalopram. Table 5: Clinically Important Drug Interactions with Citalopram Monoamine Oxidase Inhibitors (MAOIs) Clinical Impact Concomitant use of SSRIs, including citalopram, and MAOIs increases the risk of serotonin syndrome. Intervention Citalopram is contraindicated in patients taking MAOIs, including MAOIs such as linezolid or intravenous methylene blue [see Dosage and Administration ( 2.5 ), Contraindications"
CITALOPRAM,Inhibitors,unknown,"Citalopram tablets 20 mg daily is the maximum recommended dosage for patients taking concomitant CYP2C19 inhibitors ( 5.2 , 7.1)","7 DRUG INTERACTIONS Table 5 presents clinically important drug interactions with citalopram. Table 5: Clinically Important Drug Interactions with Citalopram Monoamine Oxidase Inhibitors (MAOIs) Clinical Impact Concomitant use of SSRIs, including citalopram, and MAOIs increases the risk of serotonin syndrome. Intervention Citalopram is contraindicated in patients taking MAOIs, including MAOIs such as linezolid or intravenous methylene blue [see Dosage and Administration ( 2.5 ), Contraindications"
"BICTEGRAVIR SODIUM, EMTRICITABINE, AND TENOFOVIR ALAFENAMIDE FUMARATE",Drug Interactions,contraindicated,"Alteration in Regimen May be Recommended Concomitant Drug Class: Drug Name Effect on Concentration ↑ = Increase, ↓ = Decrease. Clinical Comment Antiarrhythmics: dofetilide ↑ Dofetilide Coadministration is contraindicated due to the potential for serious and/or life-threatening events associated with dofetilide therapy [see Contraindications (4) ] . Anticonvulsants: carbamazepine Drug-drug interaction study was conducted with either BIKTARVY or its components as individual agents","7 DRUG INTERACTIONS Because BIKTARVY is a complete regimen, coadministration with other antiretroviral medications for the treatment of HIV-1 infection is not recommended. ( 7.1 ) Consult the Full Prescribing Information prior to and during treatment for important drug interactions. ( 4 , 5.2 , 7 , 12.3 ) 7.1 Other Antiretroviral Medications Because BIKTARVY is a complete regimen, coadministration with other antiretroviral medications for the treatment of HIV-1 infection is not recommended [see "
"BICTEGRAVIR SODIUM, EMTRICITABINE, AND TENOFOVIR ALAFENAMIDE FUMARATE",Antimycobacterials,contraindicated,"rifabutin rifampin , Strong inducer of CYP3Aand P-gp, and inducer of UGT1A1. rifapentine ↓ BIC ↓ TAF Coadministration with rifampin is contraindicated due to the effect of rifampin on the BIC component of BIKTARVY [see Contraindications (4) ] . Coadministration with rifabutin or rifapentine is not recommended","7 DRUG INTERACTIONS Because BIKTARVY is a complete regimen, coadministration with other antiretroviral medications for the treatment of HIV-1 infection is not recommended. ( 7.1 ) Consult the Full Prescribing Information prior to and during treatment for important drug interactions. ( 4 , 5.2 , 7 , 12.3 ) 7.1 Other Antiretroviral Medications Because BIKTARVY is a complete regimen, coadministration with other antiretroviral medications for the treatment of HIV-1 infection is not recommended [see "
